Player,RegionCode,Team,Nationality,KbmOrController,Age,Twitter
CODE GE_Eraser,ASIA,Global Esports,,,,
GE_milfy1,ASIA,Global Esports,,,,
GE_Zuko,ASIA,Global Esports,,,,
GE_fa1zzy,ASIA,Global Esports,,,,
GE_Nut,ASIA,Global Esports,,,,
GE_Swillium,ASIA,Global Esports,,,,
GE_Paengdol,ASIA,Global Esports,,,,
4RaiF_GoRou,ASIA,4RaiF,,,,
4RaiF_Tonbo,ASIA,4RaiF,,,,
4RaiF_Nagomin,ASIA,4RaiF,,,,
4RaiF_min10ns,ASIA,4RaiF,,,,
WCK Francholigan,BR,WClick,,,,
WCK Matousky,BR,WClick,,,,
WCK Onesuch,BR,WClick,,,,
WCK Skiper,BR,WClick,,,,
WCK Erni,BR,WClick,,,,
AE l NKØ,BR,Arcane Esports,,,,
AE l Exterminia,BR,Arcane Esports,,,,
AE l Meguita,BR,Arcane Esports,,,,
AE l Ghost,BR,Arcane Esports,,,,
QUASAR Losted,BR,QUASAR,,,,
QUASAR Woodzilla,BR,QUASAR,,,,
QUASAR Luanzera,BR,QUASAR,,,,
QUASAR Devest_c,BR,QUASAR,,,,
Old Man Fulmer,NAW,T1,,,,
T1 Sofa,NAW,T1,,,,
T1 Sofa,NAE,T1,,,,
T1 PSANGAE,ASIA,T1,,,,
T1 Quickss,ASIA,T1,,,,
T1 がちがち Arius,ASIA,T1,,,,
T1 Medusa iwnl,ASIA,T1,,,,
T1 Persecute,NAW,T1,,,,
CODE NICKSSS,BR,Cloud 9,Brazil,KB&M,13,
RED technoviking,BR,RED Canids,,,,
RED Avlr,BR,RED Canids,,,,
RED ZecaPiranha,BR,RED Canids,,,,
RED Snow.,BR,RED Canids,,,,
DV1 Hoopek,EU,Devils.One,,,,
DV1 V1ns,EU,Devils.One,,,,
DV1 Shikuni,EU,Devils.One,,,,
DV1 qln,EU,Devils.One,,,,
9z Zzk7,BR,9z,,,,
9z santidead,BR,9z,,,,
9z Leobas,BR,9z,,,,
9z Lagarto,BR,9z,,,,
9z Twayko,BR,9z,,,,
9z zEkØ,BR,9z,,,,
xown iwnl-,BR,9z,Argentina,KB&M,16,
9z kıng,BR,9z,Argentina,,,
9z PatØ,BR,9z,,,,
LG beehive,EU,Luminosity Gaming,,,,
GO Deаdrа,EU,Gamers Origin,,,,
GO M11Z,EU,Gamers Origin,,,,
ePunks zus,EU,ePunks,,,,
ePunks Ciceey,EU,ePunks,,,,
twins iwnl,OCE,Renegades,Australia,KB&M,19,
CoverH,OCE,Chiefs Esports,New Zealand,KB&M,18,
TSM_Cloud.,NAE,Team Solomid,,,,
TSM_Myth,NAE,Team Solomid,,,,
TSM_Myth,NAW,Team Solomid,,,,
TSM_Comadon,NAE,Team Solomid,United States,KB&M,14,
TSM_Kaysid,NAW,Team Solomid,,,,
TSM_Cloud.,NAW,Team Solomid,,,,
TSM.Vinny1x,NAE,Team Solomid,,,,
TSM.Vinny1x,NAW,Team Solomid,,,,
TSM_Zexrow,NAE,Team Solomid,United States,KB&M,18,
RS kolorful,NAE,Riot Squad Esports,Canada,KB&M,15,
MSF ops qt,NAE,Misfits Gaming,,,,
MSF Heads,NAE,Misfits Gaming,,,,
MSF Clix,NAE,Misfits Gaming,United States,KB&M,14,
MSF Sheep,NAE,Misfits Gaming,,,,
MSF Famhood,NAE,Misfits Gaming,,,,
LZR Kiwiface,NAE,Lazarus Esports,,,,
LZR Kreo,NAE,Lazarus Esports,United States,KB&M,18,
LZR Arcohs,NAE,Lazarus Esports,,,,
LZR Vide,NAW,Lazarus Esports,,,,
Cented,NAW,Team Liquid,,,,
LiquidChap,NAE,Team Liquid,,,,
Liquid Riversan,NAW,Team Liquid,United States,KB&M,16,
LiquidFiber,NAE,Team Liquid,,,,
Liquid Riversan,NAE,Team Liquid,United States,KB&M,16,
Liquid Vivid,NAE,Team Liquid,United States,KB&M,21,
Liquid POACH,NAE,Team Liquid,,,,
KNG little,NAW,Team KNG,United States,KB&M,,
KNG Jay.,NAW,Team KNG,United States,KB&M,13,
KNG Unknown,NAE,Team KNG,United States,Controller,15,
Ghost Kamo,EU,Ghost Gaming,,,,
Ghost Snood,NAE,Ghost Gaming,,,,
Ghost Zаrby,OCE,Ghost Gaming,,,,
Ghost Aydan,NAW,Ghost Gaming,United States,Controller,19,
Ghost Bizzle,NAE,Ghost Gaming,United States,KB&M,21,
Ghost Saf,NAE,Ghost Gaming,,,,
Ghost Sean,NAW,Ghost Gaming,Canada,KB&M,18,
gg thwifo,NAE,Ghost Gaming,,,,
Ghost Issa,EU,Ghost Gaming,,,,
Ghost Kayuun,NAW,Ghost Gaming,,,,
Ghost Аssault,NAE,Ghost Gaming,,,,
Ghost Saf,NAW,Ghost Gaming,,,,
Ghost Aѕѕault,NAE,Ghost Gaming,,,,
Ghost Trаpped,OCE,Ghost Gaming,,,,
Ghost Dmo,NAE,Ghost Gaming,,,,
Ghost Ghoulx,NAE,Ghost Gaming,,,,
Ghost Webs,NAE,Ghost Gaming,,,,
Ghost Kayuun,NAE,Ghost Gaming,,,,
Envy Bucke,NAE,Team Envy,United States,KB&M,15,
